Title,Authors,Category,Link
TopInG: Topologically Interpretable Graph Learning via Persistent Rationale Filtration,Cheng Xin; Fan Xu; Xin Ding; Jie Gao; Jiaxin Ding,N/A,https://arxiv.org/abs/2510.05102
From Noisy Traces to Stable Gradients: Bias-Variance Optimized Preference Optimization for Aligning Large Reasoning Models,Mingkang Zhu; Xi Chen; Bei Yu; Hengshuang Zhao; Jiaya Jia,N/A,https://arxiv.org/abs/2510.05095
Learning to Interpret Weight Differences in Language Models,Avichal Goel; Yoon Kim; Nir Shavit; Tony T. Wang,N/A,https://arxiv.org/abs/2510.05092
QuantumBoost: A lazy; yet fast; quantum algorithm for learning with weak hypotheses,Amira Abbas; Yanlin Chen; Tuyen Nguyen; Ronald de Wolf,quant-ph,https://arxiv.org/abs/2510.05089
Robust multicellular programs dissect the complex tumor microenvironment and track disease progression in colorectal adenocarcinomas,Loan Vulliard; Teresa Glauner; Sven Truxa; Miray Cetin; Yu-Le Wu; Ronald Simon; Laura Behm; Jovan Tanevski; Julio Saez-Rodriguez; Guido Sauter; Felix J. Hartmann,q-bio.QM,https://arxiv.org/abs/2510.05083
MICROTRIPS: MICRO-geography TRavel Intelligence and Pattern Synthesis,Yangyang Wang; Tayo Fabusuyi,N/A,https://arxiv.org/abs/2510.05080
ResMimic: From General Motion Tracking to Humanoid Whole-body Loco-Manipulation via Residual Learning,Siheng Zhao; Yanjie Ze; Yue Wang; C. Karen Liu; Pieter Abbeel; Guanya Shi; Rocky Duan,cs.RO,https://arxiv.org/abs/2510.05070
Boomerang Distillation Enables Zero-Shot Model Size Interpolation,Sara Kangaslahti; Nihal V. Nayak; Jonathan Geuter; Marco Fumero; Francesco Locatello; David Alvarez-Melis,N/A,https://arxiv.org/abs/2510.05064
ResCP: Reservoir Conformal Prediction for Time Series Forecasting,Roberto Neglia; Andrea Cini; Michael M. Bronstein; Filippo Maria Bianchi,N/A,https://arxiv.org/abs/2510.05060
Modeling Student Learning with 3.8 Million Program Traces,Alexis Ross; Megha Srivastava; Jeremiah Blanchard; Jacob Andreas,N/A,https://arxiv.org/abs/2510.05056
HybridFlow: Quantification of Aleatoric and Epistemic Uncertainty with a Single Hybrid Model,Peter Van Katwyk; Karianne J. Bergen,N/A,https://arxiv.org/abs/2510.05054
KEEP: Integrating Medical Ontologies with Clinical Data for Robust Code Embeddings,Ahmed Elhussein; Paul Meddeb; Abigail Newbury; Jeanne Mirone; Martin Stoll; Gamze Gursoy,N/A,https://arxiv.org/abs/2510.05049
A Unified Optimization Framework for Multiclass Classification with Structured Hyperplane Arrangements,Víctor Blanco; Harshit Kothari; James Luedtke,math.OC,https://arxiv.org/abs/2510.05047
Test-Time Scaling in Diffusion LLMs via Hidden Semi-Autoregressive Experts,Jihoon Lee; Hoyeon Moon; Kevin Zhai; Arun Kumar Chithanar; Anit Kumar Sahu; Soummya Kar; Chul Lee; Souradip Chakraborty; Amrit Singh Bedi,N/A,https://arxiv.org/abs/2510.05040
Graph-Aware Diffusion for Signal Generation,Sergio Rozada; Vimal K. B.; Andrea Cavallo; Antonio G. Marques; Hadi Jamali-Rad; Elvin Isufi,N/A,https://arxiv.org/abs/2510.05036
